Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,146.8,-12.2,2.7,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,145.4,-12.1,3.0,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,134.4,13.5,7.2,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,132.3,13.4,6.8,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,131.8,8.2,10.0,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,129.7,8.1,9.6,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,64.0,-11.4,-6.5,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,62.4,-11.5,-7.0,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,61.0,-17.6,-3.3,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,59.3,-17.7,-3.8,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,58.7,-2.6,1.2,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,56.3,-2.6,1.9,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,55.7,-8.8,4.4,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,53.3,-8.8,5.1,0.0,0.0,0.0
